AGE	MONTH	SEX	HEADLEN	HEADWTH	NECK	LENGTH	CHEST	WEIGHT
9.000000000e+000	9.000000000e+000	1.000000000e+000	1.000000000e+001	4.000000000e+000	1.350000000e+001	4.300000000e+001	2.300000000e+001	4.600000000e+001
3.300000000e+001	9.000000000e+000	1.000000000e+000	1.350000000e+001	6.000000000e+000	2.200000000e+001	6.650000000e+001	3.400000000e+001	1.540000000e+002
5.700000000e+001	9.000000000e+000	2.000000000e+000	1.300000000e+001	5.500000000e+000	1.750000000e+001	6.050000000e+001	3.100000000e+001	1.160000000e+002
4.500000000e+001	9.000000000e+000	2.000000000e+000	1.300000000e+001	6.500000000e+000	2.100000000e+001	6.000000000e+001	3.450000000e+001	1.820000000e+002
2.100000000e+001	9.000000000e+000	1.000000000e+000	1.450000000e+001	5.500000000e+000	2.000000000e+001	6.100000000e+001	3.400000000e+001	1.500000000e+002
1.000000000e+001	1.000000000e+001	1.000000000e+000	9.500000000e+000	4.500000000e+000	1.600000000e+001	4.000000000e+001	2.600000000e+001	6.500000000e+001
8.200000000e+001	1.000000000e+001	2.000000000e+000	1.350000000e+001	6.500000000e+000	2.800000000e+001	6.400000000e+001	4.800000000e+001	3.560000000e+002
7.000000000e+001	1.000000000e+001	2.000000000e+000	1.450000000e+001	6.500000000e+000	2.600000000e+001	6.500000000e+001	4.800000000e+001	3.160000000e+002
1.000000000e+001	1.000000000e+001	1.000000000e+000	1.100000000e+001	5.000000000e+000	1.700000000e+001	4.900000000e+001	2.900000000e+001	9.400000000e+001
1.000000000e+001	1.000000000e+001	1.000000000e+000	1.150000000e+001	5.000000000e+000	1.700000000e+001	4.700000000e+001	2.950000000e+001	8.600000000e+001
3.400000000e+001	1.000000000e+001	1.000000000e+000	1.300000000e+001	7.000000000e+000	2.100000000e+001	5.900000000e+001	3.500000000e+001	1.500000000e+002
3.400000000e+001	1.000000000e+001	1.000000000e+000	1.650000000e+001	6.500000000e+000	2.700000000e+001	7.200000000e+001	4.450000000e+001	2.700000000e+002
3.400000000e+001	1.000000000e+001	1.000000000e+000	1.400000000e+001	5.500000000e+000	2.400000000e+001	6.500000000e+001	3.900000000e+001	2.020000000e+002
5.800000000e+001	1.000000000e+001	2.000000000e+000	1.350000000e+001	6.500000000e+000	2.150000000e+001	6.300000000e+001	4.000000000e+001	2.020000000e+002
5.800000000e+001	1.000000000e+001	1.000000000e+000	1.550000000e+001	7.000000000e+000	2.800000000e+001	7.050000000e+001	5.000000000e+001	3.650000000e+002
1.100000000e+001	1.100000000e+001	1.000000000e+000	1.150000000e+001	6.000000000e+000	1.650000000e+001	4.800000000e+001	3.100000000e+001	7.900000000e+001
2.300000000e+001	1.100000000e+001	1.000000000e+000	1.200000000e+001	6.500000000e+000	1.900000000e+001	5.000000000e+001	3.800000000e+001	1.480000000e+002
7.000000000e+001	1.000000000e+001	1.000000000e+000	1.550000000e+001	7.000000000e+000	2.800000000e+001	7.650000000e+001	5.500000000e+001	4.460000000e+002
1.100000000e+001	1.100000000e+001	2.000000000e+000	9.000000000e+000	5.000000000e+000	1.500000000e+001	4.600000000e+001	2.700000000e+001	6.200000000e+001
8.300000000e+001	1.100000000e+001	2.000000000e+000	1.450000000e+001	7.000000000e+000	2.300000000e+001	6.150000000e+001	4.400000000e+001	2.360000000e+002
3.500000000e+001	1.100000000e+001	1.000000000e+000	1.350000000e+001	8.500000000e+000	2.300000000e+001	6.350000000e+001	4.400000000e+001	2.120000000e+002
1.600000000e+001	4.000000000e+000	1.000000000e+000	1.000000000e+001	4.000000000e+000	1.550000000e+001	4.800000000e+001	2.600000000e+001	6.000000000e+001
1.600000000e+001	4.000000000e+000	1.000000000e+000	1.000000000e+001	5.000000000e+000	1.500000000e+001	4.100000000e+001	2.600000000e+001	6.400000000e+001
1.700000000e+001	5.000000000e+000	1.000000000e+000	1.150000000e+001	5.000000000e+000	1.700000000e+001	5.300000000e+001	3.050000000e+001	1.140000000e+002
1.700000000e+001	5.000000000e+000	2.000000000e+000	1.150000000e+001	5.000000000e+000	1.500000000e+001	5.250000000e+001	2.800000000e+001	7.600000000e+001
1.700000000e+001	5.000000000e+000	2.000000000e+000	1.100000000e+001	4.500000000e+000	1.300000000e+001	4.600000000e+001	2.300000000e+001	4.800000000e+001
8.000000000e+000	8.000000000e+000	2.000000000e+000	1.000000000e+001	4.500000000e+000	1.000000000e+001	4.350000000e+001	2.400000000e+001	2.900000000e+001
8.300000000e+001	1.100000000e+001	1.000000000e+000	1.550000000e+001	8.000000000e+000	3.050000000e+001	7.500000000e+001	5.400000000e+001	5.140000000e+002
1.800000000e+001	6.000000000e+000	1.000000000e+000	1.250000000e+001	8.500000000e+000	1.800000000e+001	5.729999924e+001	3.279999924e+001	1.400000000e+002
